shop_name,shop_location,contact_number,website,average_review_count,average_review_points
DR AKHIL'S SMILE CONCEPTS DENTAL CARE & IMPLANT CENTRE · Visited link,"Vijay plaza, Ulloor - Akkulam Rd, near More Supermarket, Prasanth Nagar, Ulloor, Thiruvananthapuram, Kerala 695011",098099 77977,smileconceptsdentalcare.com,494,5.0
V Dentist Dental · Visited link,"TC 17/2777, Orchid Towers, Pattom, Thiruvananthapuram, Kerala 695004",099950 55999,vdentist.in,171,4.9
Kamala Dental Speciality Hospital · Visited link,"Sree Mulam Club, T.C 29/4638, Junction, near Centre Plaza, Nandavanam, Vazhuthacaud, Thiruvananthapuram, Kerala 695014",095260 66001,kamaladental.com,743,4.8
Global Dental Solutions · Visited link,"Multi Speciality Dental Clinic, 2nd Floor, Ali Building, near ICICI Bank ATM, Kowdiar, Thiruvananthapuram, Kerala 695003",094477 44470,globaldentalsolutions.in,115,4.7
Apollo Dental Centre · Visited link,"Vellayambalam - Sasthamangalam Rd, Althara Nagar, Vellayambalam, Thiruvananthapuram, Kerala 695010",0471 272 0666,apollodentalcentre.co,375,4.8
