shop_name,shop_location,contact_number,website,average_review_count,average_review_points
Dr Johns Dental Centre - Your Trusted Dental Clinic & Home to the Best Dentist in Trivandrum. · Visited link,"Dr johns dental centre, Medical College, Pazhaya Rd, near Trinity Marthoma Church, opp. Hdfc Bank, P.O, Murinjapalam, Thiruvananthapuram, Kerala 695011",096459 45945,drjohnsdentalcentre.com,182,5.0
Chitra MultiSpeciality Dental Clinic Trivandrum · Visited link,"opposite to Elamkulam mahadeva temple and SBI, Sreekariyam, Thiruvananthapuram, Kerala 695017",094474 78775,chitradentalclinics.com,1136,4.9
Fresh Smile Multispeciality Dental Clinic · Visited link,"Pothujanam Ln, opposite A J Hall, Kumarapuram, Thiruvananthapuram, Kerala 695011",0471 406 6692,freshsmile.in,86,4.8
Trivandrum Dental Specialists Group · Visited link,"Lekshmi Nagar, Pattom, Thiruvananthapuram, Kerala 695004",0471 254 5455,trivandrumdental.com,83,4.5
Kailas Dental Trivandrum · Visited link,"Opposite Medical College Mens Hostel -01 Navarangam lane, medical college P.O, Thiruvananthapuram, Kerala 695011",0471 255 3801,tvmkailasdental.com,96,4.6
